[server]2024-11-22 00:00:01.981	[31merror[0m	/Users/huangyi/GolandProjects/stock-exchange/server/task/symbols.go:105	解析日交易数据失败	{"error": "json: cannot unmarshal number into Go value of type struct { Results map[string][]struct { V float64 \"json:\\\"v\\\"\"; C float64 \"json:\\\"c\\\"\"; O float64 \"json:\\\"o\\\"\" } \"json:\\\"results\\\"\" }"}
[server]2024-11-22 01:23:37.519	[31merror[0m	/Users/huangyi/GolandProjects/stock-exchange/server/core/server.go:54	accept tcp [::]:8888: use of closed network connection
[server]2024-11-22 01:24:05.028	error	/Users/huangyi/GolandProjects/stock-exchange/server/initialize/websocket.go:134	Recover Stock websocket error runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:24:05.095	error	/Users/huangyi/GolandProjects/stock-exchange/server/initialize/websocket.go:206	Recover Crypto websocket error runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:24:05.312	error	/Users/huangyi/GolandProjects/stock-exchange/server/initialize/websocket.go:283	Recover Forex websocket error runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:24:07.146	error	/Users/huangyi/GolandProjects/stock-exchange/server/task/refreshPlatformBaseConfigCache.go:16	Recover refresh platform base config cache err: runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:24:17.140	error	/Users/huangyi/GolandProjects/stock-exchange/server/task/refreshPlatformBaseConfigCache.go:16	Recover refresh platform base config cache err: runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:24:27.140	error	/Users/huangyi/GolandProjects/stock-exchange/server/task/refreshPlatformBaseConfigCache.go:16	Recover refresh platform base config cache err: runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:24:37.258	error	/Users/huangyi/GolandProjects/stock-exchange/server/task/refreshPlatformBaseConfigCache.go:16	Recover refresh platform base config cache err: runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:24:47.141	error	/Users/huangyi/GolandProjects/stock-exchange/server/task/refreshPlatformBaseConfigCache.go:16	Recover refresh platform base config cache err: runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:24:57.143	error	/Users/huangyi/GolandProjects/stock-exchange/server/task/refreshPlatformBaseConfigCache.go:16	Recover refresh platform base config cache err: runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:25:07.142	error	/Users/huangyi/GolandProjects/stock-exchange/server/task/refreshPlatformBaseConfigCache.go:16	Recover refresh platform base config cache err: runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:25:17.142	error	/Users/huangyi/GolandProjects/stock-exchange/server/task/refreshPlatformBaseConfigCache.go:16	Recover refresh platform base config cache err: runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:25:27.142	error	/Users/huangyi/GolandProjects/stock-exchange/server/task/refreshPlatformBaseConfigCache.go:16	Recover refresh platform base config cache err: runtime error: invalid memory address or nil pointer dereference
[server]2024-11-22 01:25:37.149	error	/Users/huangyi/GolandProjects/stock-exchange/server/task/refreshPlatformBaseConfigCache.go:16	Recover refresh platform base config cache err: runtime error: invalid memory address or nil pointer dereference
